uprn,lat,lon
10001309290,50.9186168,-1.3824901
10001309291,50.9186168,-1.3824901
10001309292,50.9186168,-1.3824901
10001309293,50.9186168,-1.3824901
10001309294,50.9186168,-1.3824901
10001309295,50.9186168,-1.3824901
10001309296,50.9186168,-1.3824901
10001309297,50.9186168,-1.3824901
10001309298,50.9186168,-1.3824901
10001309299,50.9186168,-1.3824901
10001309300,50.9186168,-1.3824901
10001309301,50.9186168,-1.3824901
10001309302,50.9186168,-1.3824901
10001309303,50.9186168,-1.3824901
10001309304,50.9186168,-1.3824901
10001309305,50.9186168,-1.3824901
10001309306,50.9186168,-1.3824901
10001309307,50.9186168,-1.3824901
10001309308,50.9186168,-1.3824901
10001309309,50.9186168,-1.3824901
10001309310,50.9186168,-1.3824901
10001309311,50.9186168,-1.3824901
10001309312,50.9186168,-1.3824901
10001309962,50.9315339,-1.3680885
10001309963,50.9315339,-1.3680885
10001309964,50.9315339,-1.3680885
10001309965,50.9315339,-1.3680885
10001309966,50.9315339,-1.3680885
10001309967,50.9315339,-1.3680885
10001309968,50.9315339,-1.3680885
10001309969,50.9315339,-1.3680885
10001309970,50.9315339,-1.3680885
10001309971,50.9315339,-1.3680885
10001309972,50.9315339,-1.3680885
10001309973,50.9315339,-1.3680885
10001309974,50.9315339,-1.3680885
10001309975,50.9315339,-1.3680885
10001309977,50.9315339,-1.3680885
10001310149,50.932607,-1.3837278
10001310150,50.932714,-1.3835556
10001310151,50.932714,-1.3835556
10001310152,50.932714,-1.3835556
10001310153,50.932714,-1.3835556
10001310154,50.932714,-1.3835556
10001310155,50.932714,-1.3835556
10001310156,50.932714,-1.3835556
10001310157,50.932607,-1.3837278
10001310158,50.932607,-1.3837278
10001310159,50.932607,-1.3837278
10001310160,50.932607,-1.3837278
10001310161,50.932607,-1.3837278
10001310162,50.932607,-1.3837278
10001310163,50.932607,-1.3837278
10001310164,50.932607,-1.3837278
10001310165,50.932607,-1.3837278
10001310166,50.932607,-1.3837278
10001310167,50.932607,-1.3837278
10001310168,50.932607,-1.3837278
10001310169,50.932607,-1.3837278
10001310170,50.932607,-1.3837278
10001310171,50.932607,-1.3837278
10001310172,50.932607,-1.3837278
10001310173,50.9323832,-1.3839157
10001310174,50.9323832,-1.3839157
10001310175,50.9323832,-1.3839157
10001310176,50.9323832,-1.3839157
10001310177,50.9323832,-1.3839157
10001310178,50.9323832,-1.3839157
10001310179,50.9323832,-1.3839157
10001310180,50.9323832,-1.3839157
10001310181,50.9323832,-1.3839157
10001310182,50.9323832,-1.3839157
10001310183,50.9323832,-1.3839157
10001310184,50.9323832,-1.3839157
10001310185,50.9323832,-1.3839157
10001310186,50.9323832,-1.3839157
10001310187,50.9323832,-1.3839157
10001310188,50.9323832,-1.3839157
10001310190,50.9187545,-1.3746211
10001310191,50.9187545,-1.3746211
10001310192,50.9187545,-1.3746211
10001310193,50.9187545,-1.3746211
10001310194,50.9187545,-1.3746211
10001310195,50.9187545,-1.3746211
10001310196,50.9187545,-1.3746211
10001310197,50.9187545,-1.3746211
10001310198,50.9187545,-1.3746211
10001310199,50.9187545,-1.3746211
10001310200,50.9187545,-1.3746211
10001310444,50.9341469,-1.3892433
10001310445,50.9341469,-1.3892433
10001310667,50.9395946,-1.375366
10001310753,50.9243916,-1.3895704
10001310754,50.9243916,-1.3895704
10001310755,50.9243916,-1.3895704
10001310756,50.9243916,-1.3895704
10001310757,50.9243916,-1.3895704
10001310758,50.9243916,-1.3895704
10001310759,50.9243916,-1.3895704
10001310760,50.9243916,-1.3895704
10001310761,50.9243916,-1.3895704
10001310807,50.9378908,-1.3829889
10001310808,50.9378908,-1.3829889
10001310809,50.9378908,-1.3829889
10001310811,50.9246838,-1.3852981
10001310812,50.9246838,-1.3852981
10001310813,50.9246838,-1.3852981
10001310814,50.9246838,-1.3852981
10001310815,50.9246838,-1.3852981
10001310816,50.9246838,-1.3852981
10001310817,50.9246838,-1.3852981
10001310818,50.9246838,-1.3852981
10001310819,50.9246838,-1.3852981
10001310820,50.9246838,-1.3852981
10001310821,50.9246838,-1.3852981
10001310822,50.9246838,-1.3852981
10001310823,50.9246838,-1.3852981
10001310824,50.9246838,-1.3852981
10001310825,50.9246838,-1.3852981
10001311083,50.9205059,-1.3725347
10001311590,50.9391979,-1.3735068
10001311650,50.9242816,-1.375671
10001311651,50.9242816,-1.375671
10001311653,50.9221559,-1.3683297
10001311654,50.9221559,-1.3683297
